rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.5101656556129455,3.20523008,1.5729972124099731,4.82107635071644
16,32,3686400,3.5111048142115275,2.603820032,1.5292227268218994,4.614588632006769
64,128,14745600,3.728977072238922,3.981661184,1.488249659538269,4.429335884166694
